Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
18814253,Lao Tzu: Tao Te Ching: A Book about the Way and the Power of the Way,Lao Tzu,"Tzu, Lao","Ursula K. Le Guin, J. P. Seaton","=""""","=""""",4,4.41,Shambhala Publications,Kindle Edition,162,2012,,2016/11/26,2016/02/14,,,read,,,,1,,,0,,,,,
12993038,Direct Action: An Ethnography,David Graeber,"Graeber, David",,"=""""","=""""",0,4.13,,Kindle Edition,,,2009,,2013/12/03,currently-reading,currently-reading (#7),currently-reading,,,,1,,,0,,,,,
9938211,"The 4-Hour Body: An Uncommon Guide to Rapid Fat-Loss, Incredible Sex, and Becoming Superhuman",Timothy Ferriss,"Ferriss, Timothy",,"=""""","=""""",4,3.76,Crown Archetype,Kindle Edition,592,2010,2000,2019/02/06,2019/01/19,,,read,,,,1,,,0,,,,,
31286198,Hunter S. Thompson's Fear and Loathing in Las Vegas #2,Troy Little,"Little, Troy",,"=""""","=""""",5,4.44,IDW,Kindle Edition,48,,,2019/02/06,2018/07/01,,,read,,,,1,,,0,,,,,
39315264,The Red and the Blue: The 1990s and the Birth of Political Tribalism,Steve Kornacki,"Kornacki, Steve",,"=""""","=""""",0,4.20,Ecco,Kindle Edition,500,2018,2018,,2019/01/30,currently-reading,currently-reading (#6),currently-reading,,,,1,,,0,,,,,
35407637,Kids These Days: Human Capital and the Making of Millennials,Malcolm   Harris,"Harris, Malcolm",,"=""""","=""""",0,3.85,"Little, Brown and Company",Kindle Edition,273,2017,2017,,2018/08/15,currently-reading,currently-reading (#5),currently-reading,,,,1,,,0,,,,,
25374501,The Lean Product Playbook: How to Innovate with Minimum Viable Products and Rapid Customer Feedback,Dan  Olsen,"Olsen, Dan",,"=""""","=""""",0,4.33,Wiley,Kindle Edition,336,2015,2015,,2018/08/12,to-read,to-read (#26),to-read,,,,0,,,0,,,,,
35999155,The Pisces,Melissa Broder,"Broder, Melissa",,"=""""","=""""",4,3.26,Hogarth,Kindle Edition,273,2018,2018,2018/08/12,2018/07/08,,,read,,,,1,,,0,,,,,
38472967,How to Think Like an Anthropologist,Matthew Engelke,"Engelke, Matthew",,"=""""","=""""",0,3.80,Princeton University Press,Kindle Edition,327,2018,,,2018/07/20,currently-reading,currently-reading (#4),currently-reading,,,,1,,,0,,,,,
32916085,Theft by Finding: Diaries (1977-2002),David Sedaris,"Sedaris, David",,"=""""","=""""",5,3.93,"Little, Brown and Company",Kindle Edition,528,2017,2017,2018/07/14,2018/07/08,,,read,,,,1,,,0,,,,,
